ID	GLOSS	SEMANTICFIELD	DEFINITION	ONTOLOGICAL_CATEGORY	REPLACEMENT_ID
2155	CUT (WITH SCISSORS)	Basic actions and technology	To divide into pieces with help of scissors, especially things like a rope, a piece of cloth, or a piece of paper.	Action/Process	
2156	CUT (WITH KNIFE)	Basic actions and technology	To slice or to divide into pieces with help of a knife or a knifelike object.	Action/Process	
2157	FINE OR THIN	Spatial relations	Of a substance: divided into or consisting of very small pieces.	Property	
2158	EARTH (WET SUBSTANCE)	The physical world	The soft and loose material forming a great part of the Earth surface in wet form.	Person/Thing	1228
2159	GROUND	The physical world	The top layer of the earth.	Person/Thing	
2160	BAMBOO HAT	Clothing and grooming	A hat made of bamboo (斗笠 dǒulì).	Person/Thing	
2161	HEMP CLOTH	Clothing and grooming	A woven fabric such as used in dressing, decorating, cleaning or other practical use which is made from hemp.	Person/Thing	
2162	STIR FRY	Food and drink	Stir frying (Chinese: 炒; pinyin: chǎo) is a Chinese cooking technique in which ingredients are fried in a small amount of very hot oil while being stirred in a wok.	Action/Process	
2163	MARRY (AS WOMAN)	Kinship	To enter marriage from the perspective of a woman.	Action/Process	
2164	MARRY (AS MAN)	Kinship	To enter marriage from the perspective of a man.	Action/Process	
2165	SLOWLY	Motion	With low speed.	Other	
2166	PILLOW (CLASSIFIER)	Quantity	Classifier for pillows and other objects related to the bed.	Classifier	
2167	VEHICLE (CLASSIFIER)	Quantity	Classifier for vehicles.	Classifier	
2168	COW (CLASSIFIER)	Quantity	Classifier for cows and animals as large as cows.	Classifier	
2169	PIG (CLASSIFIER)	Quantity	Classifier for pigs and other livestock as large as pigs.	Classifier	
2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)	Kinship	Wife of father's elder brother.	Person/Thing	
2171	PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)	Kinship	Wife of father's younger brother.	Person/Thing	
2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)	Kinship	Wife of mother's brother.	Person/Thing	
2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)	Kinship	Father's elder brother.	Person/Thing	
2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	Kinship	Father's younger brother.	Person/Thing	
2175	PATERNAL AUNT	Kinship	Father's sister or father's sibling's wife.	Person/Thing	
2176	MATERNAL AUNT	Kinship	Mother's sister or mother's sibling's wife.	Person/Thing	
2177	MATERNAL GRANDMOTHER	Kinship	Mother's mother.	Person/Thing	
2178	MATERNAL GRANDFATHER	Kinship	Mother's father.	Person/Thing	
2179	TWO MILES	Quantity	The distance of two miles.	Other	
2180	TWO OUNCES	Quantity	The weight of two ounces.	Other	
2181	LIGHT (IN TASTE)	Food and drink	Light or watery in taste.	Property	
2182	LEFT HAND	The body	The left hand of a human.	Person/Thing	
2183	RIGHT HAND	The body	The right hand of a human.	Person/Thing	
2184	CATCH A COLD	The body	To become sick with a cold.	Action/Process	
2185	DOORSILLS	The house	(Building) a horizontal member of wood, stone, etc, forming the bottom of a doorframe.	Person/Thing	
2186	DRAGON BOAT FESTIVAL	Social and political relations	A traditional and statutory holiday originating in China.	Person/Thing	
2187	MID-AUTUMN FESTIVAL	Social and political relations	A harvest festival celebrated by ethnic Chinese and Vietnamese peoples.	Person/Thing	
2188	NEW YEAR'S EVE	Social and political relations	The last day of the year.	Person/Thing	
2189	DUGOUT	Motion	A boat made from a hollowed tree trunk.	Person/Thing	
2190	TASTE	Food and drink	The sensory impression of food or other substances on the tongue.	Person/Thing	
2191	LOW (HEIGHT)	Spatial relations	Having little relative height; not high or tall.	Property	
2192	REJOICE	Emotions and values	To feel joyful; be delighted.	Action/Process	
2193	CARP	Emotions and values	To complain or find fault in a petty or disagreeable way.	Action/Process	
2194	FRONT (PART)	Spatial relations	The forward part or surface, as of a building.	Person/Thing	
2195	FRESH (OF WATER)	Food and drink	Of water which was recently filled up or gathered from a source.	Property	
2196	HORSETAIL	Animals	Tail of a horse.	Person/Thing	
2197	BAD PERSON	Kinship	A person with an evil character.	Person/Thing	
2198	LOCATION OF EMOTIONS	Religion and belief	The place where emotions are thought to be stored.	Person/Thing	
2199	LOWER PART	Spatial relations	The bottom part of a surface, as of a building.	Person/Thing	
2200	SNOUT	Animals	The protruding portion of an animal's face, consisting of its nose, mouth, and jaw.	Person/Thing	
2201	LIGHT (SMELL OR TASTE)	Food and drink	Being not strong in smell or taste.	Property	
2202	HIGH-RANKING	Social and political relations	Being at an elevated level in rank or importance.	Property	
2203	RABID	The body	Suffering from rabies.	Property	
2204	LEDGE	Spatial relations	A narrow shelflike rock projection on a cliff or mountain.	Person/Thing	
2205	PEAK	Spatial relations	The highest or lowest point on a surface.	Person/Thing	
2206	RABIES	The body	A viral disease that causes acute inflammation of the brain in humans and other warm-blooded animals.	Person/Thing	
2207	CHATTERER	Kinship	A person who talks a lot.	Person/Thing	
2208	BE AT WAR	Warfare and hunting	To be in the state of beligerence.	Action/Process	
2209	BECOME EXTINGUISHED	Basic actions and technology	Being stopped from burning or emitting light.	Action/Process	
2210	BECOME PREPARED (OF FOOD)	Food and drink	(Of food) being prepared and then ready to be eaten.	Action/Process	
2211	CLOSE THE EYES	Motion	To shut down the eyes such that one cannot see anything anymore.	Action/Process	2063
2212	ARRIVE (OF AN EVENT)	Time	The process by which an event (day, night, etc.) arrives.	Action/Process	
2213	BODY PART	The body	Part of a human body or an animal body.	Person/Thing	
2214	AFFAIR	Possession	That which is considered to exist as a separate quality or concept.	Person/Thing	
2215	BECOME ANGRY	Emotions and values	To turn into an angry mental state.	Action/Process	
2216	BECOME NUMB	Sense perception	Be caused not to be sensitive (usually of body parts).	Action/Process	
2217	YOKE (VERB)	Motion	To put a yoke or a harness on animals.	Action/Process	
2218	EXPERIENCED	Cognition	To have apprehended objects, thoughts, or emotions through senses and mind.	Property	
2219	LEAN (MEAT)	The body	Carry little fat (of meat).	Property	
2220	MOVE QUICKLY	Motion	To move forward in a fast way.	Action/Process	
2221	NOMADIZE	Social and political relations	To lead a nomadic lifestyle.	Action/Process	
2222	CONJURE	Religion and belief	To practice witchcraft or magic.	Action/Process	
2223	BE ANGRY	Emotions and values	Be in an angry state.	Action/Process	
2224	BEND (SOMETHING)	Basic actions and technology	To carry out a movement to turn something into a curved shape.	Action/Process	
2225	RECEIVE VISITORS	Social and political relations	To receive visitors.	Action/Process	
2226	BRAVE PERSON	Kinship	A person with a brave character.	Person/Thing	
2227	SPAWN (VERB)	Animals	The process by which aquatic animals produce eggs.	Action/Process	
2228	GLARING	Sense perception	Shining intensely and brightly.	Property	
2229	BECOME SOUR	Food and drink	To obtain an acid taste and become no longer edible.	Action/Process	
2230	UNTAMED OR WILD	Animals	Not cultivated, domesticated or controlled by humans.	Property	
2231	CORRECT (SOMETHING OR SOMEBODY)	Social and political relations	To right the errors of a person or a thing.	Action/Process	
2232	KEEN OR SUBTLE	Sense perception	To be fine regarding one's senses.	Property	
2233	LOVELY	Emotions and values	Beautiful especially in a pleasing or charming way.	Property	
2234	FALL (OF SNOW AND RAIN)	Motion	The process by which rain or snow descend from the clouds to the earth.	Action/Process	
2235	CLEAN (SOMETHING)	Motion	To cause something to be no longer dirty.	Action/Process	
2236	SHINE (EMITTED LIGHT)	The physical world	The emission of light on a surface.	Person/Thing	
2237	FIND OUT	Cognition	To apprehend something involuntarily.	Action/Process	
2238	KNOW OR BE ABLE	Cognition	To be able to do something which requires or could require that one would learn it before.	Action/Process	
2239	DENSE	Spatial relations	To be thick, of liquids.	Property	
2240	CORAL SNAKE	Animals	A large group of elapid snakes that can be subdivided into two distinct groups, Old World coral snakes and New World coral snakes.	Person/Thing	
2241	WILD CAT	Animals	A small cat found throughout most of Africa, Europe, and southwest and central Asia into India, China, and Mongolia.	Person/Thing	
2242	BEETLE	Animals	A group of insects which are biologically classified in the order Coleoptera /koʊliːˈɒptərə/.	Person/Thing	
2243	REPAIR	Basic actions and technology	To patch up something which was broken before.	Action/Process	
2244	METAL	The physical world	A material (an element, compound, or alloy) that is typically hard, opaque, shiny, and has good electrical and thermal conductivity.	Person/Thing	
2245	BELCH	Basic actions and technology	To release gas from the digestive tract through the mouth.	Action/Process	
2246	BELL	Basic actions and technology	A simple sound-making device.	Person/Thing	
2247	CATERPILLAR	Animals	The larvae of members of the order Lepidoptera (the insect order comprising butterflies and moths).	Person/Thing	
2248	KNOW (SOMEBODY)	Cognition	To have met and recognize somebody.	Action/Process	
2249	THIN (OF SHAPE OF OBJECT)	Spatial relations	Being narrow (of flat or long objects).	Property	
2250	LEAF (LEAFLIKE OBJECT)	Spatial relations	An object that is similar in shape to the leaves of a tree, such as a sheet of paper.	Person/Thing	
2251	BEER BANANA	Agriculture and vegetation	Triploid banana cultivars originating from the African Great Lakes region.	Person/Thing	
2252	PATH	Motion	A narrow piece of ground that people can walk along.	Person/Thing	
2253	DRIP (EMIT LIQUID)	Motion	To emit drops of liquid.	Action/Process	
2254	FATHER-IN-LAW (OF WOMAN)	Kinship	The father-in-law of a woman.	Person/Thing	
2255	FATHER-IN-LAW (OF MAN)	Kinship	The father-in-law of a man.	Person/Thing	
2256	MOTHER-IN-LAW (OF WOMAN)	Kinship	The mother-in-law of a woman.	Person/Thing	
2257	MOTHER-IN-LAW (OF MAN)	Kinship	The mother-in-law of a man.	Person/Thing	
2258	SET ALIGHT (SOMETHING)	The physical world	To make something burn.	Action/Process	737
2259	FLESH	The body	The soft substance in the body of living things.	Person/Thing	
2260	FEMALE (OF PERSON)	Kinship	Relating to the female sex of humans.	Property	
2261	MALE (OF PERSON)	Kinship	Relating to the male sex of humans.	Property	
2262	FEMALE (OF ANIMAL)	Animals	Relating to the female sex of animals.	Property	
2263	MALE (OF ANIMAL)	Animals	Relating to the male sex of animals.	Property	
2264	DAUGHTER-IN-LAW (OF WOMAN)	Kinship	The daughter-in-law of a woman.	Person/Thing	
2265	DAUGHTER-IN-LAW (OF MAN)	Kinship	The daughter-in-law of a man.	Person/Thing	
2266	SON-IN-LAW (OF WOMAN)	Kinship	The son-in-law of a woman.	Person/Thing	
2267	SON-IN-LAW (OF MAN)	Kinship	The son-in-law of a man.	Person/Thing	
2268	POTION	Food and drink	A specific drink that enhances healing and recovering.	Person/Thing	
2269	BREATH OR LIFE	Basic actions and technology	The act of inhalation and exhalation of air as one part of physiological respiration required to sustain life, or the fact that life is sustained itself.	Person/Thing	
2270	SAGO	Food and drink	Starch extracted from the spongy centre, or pith, of various tropical palm stems, especially Metroxylon sagu.	Person/Thing	
2271	THINK	Cognition	Use ones mental power to form ideas or having used ones mental power to form ideas of conviction or belief.	Action/Process	
2272	HOT OR WARM	Sense perception	Having a higher temperature than normal.	Property	
2273	LEECH	Animals	Segmented worms that belong to the phylum Annelida and comprise the subclass Hirudinea.	Person/Thing	
2274	YOUR (PLURAL)	Possession	Belonging to the second person that is addressed by the first person, with the second person being many persons and not just one.	Other	
